time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-27T19:07:58.420Z,37.6501667,-118.9185,4.23,0.31,md,9,111,0.01115,0.02,nc,nc73332531,2020-01-28T00:28:02.683Z,"6km ENE of Mammoth Lakes, CA",earthquake,0.62,0.54,0.062,9,reviewed,nc,nc
2020-01-27T19:05:28.780Z,32.6051667,-115.7276667,6.77,2.27,ml,34,121,0.04405,0.31,ci,ci39283896,2020-01-27T19:16:38.730Z,"14km WNW of Progreso, B.C., MX",earthquake,0.65,1.16,0.239,25,automatic,ci,ci
2020-01-27T18:55:05.960Z,38.824501,-122.8111649,3.81,0.56,md,7,150,0.001395,0.05,nc,nc73332521,2020-01-27T20:37:03.136Z,"7km NW of The Geysers, CA",earthquake,1.35,2.33,,1,automatic,nc,nc
2020-01-27T18:54:06.722Z,60.4706,-152.6852,21.2,0.9,ml,,,,0.71,ak,ak02018yjrf0,2020-01-27T22:53:20.494Z,"3km ESE of Redoubt Volcano, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-01-27T18:42:10.530Z,19.2038326,-155.3925018,32.83,1.88,md,44,170,0.03382,0.12,hv,hv71354112,2020-01-27T18:45:23.050Z,"9km E of Pahala, Hawaii",earthquake,0.62,0.92,0.08,11,automatic,hv,hv
2020-01-27T18:35:23.260Z,35.5985,-117.3746667,2.45,1.34,ml,19,74,0.07234,0.21,ci,ci39283856,2020-01-27T18:39:10.359Z,"18km S of Trona, CA",earthquake,0.44,0.53,0.178,19,automatic,ci,ci
2020-01-27T18:29:55.960Z,37.652668,-118.9164963,4.59,0.89,md,11,129,0.0088,0.01,nc,nc73332511,2020-01-27T19:08:02.834Z,"6km ENE of Mammoth Lakes, CA",earthquake,1.19,2.07,0.12,11,automatic,nc,nc
2020-01-27T18:28:31.660Z,37.6361667,-118.9185,5.4,0.4,md,14,67,0.01597,0.03,nc,nc73332516,2020-01-28T00:18:03.614Z,"5km E of Mammoth Lakes, CA",earthquake,0.34,0.37,0.263,13,reviewed,nc,nc
2020-01-27T18:26:45.780Z,37.6513333,-118.9236667,3.55,0.18,md,11,133,0.01464,0.05,nc,nc73332501,2020-01-28T01:13:02.498Z,"5km ENE of Mammoth Lakes, CA",earthquake,0.44,0.83,0.101,9,reviewed,nc,nc
2020-01-27T18:17:40.270Z,35.8031667,-117.6298333,6.38,1.58,ml,22,78,0.02912,0.15,ci,ci39283824,2020-01-27T18:47:14.444Z,"21km NNE of Ridgecrest, CA",earthquake,0.23,0.51,0.15,25,automatic,ci,ci
